Mods count: 493
 
jar name                                                                           | mod id (isMCreator)                          | mixin configs
    /META-INF/jars/httpmime-4.5.10.jar                                             |                                              | 
entityculling-forge-1.8.2-mc1.20.1.jar                                             | entityculling                                | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRender-1.0.5-1.20.1-forge-SNAPSHOT.jar                         | trender                                      | trender.mixins.json, trender.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.3-1.20.1-forge-SNAPSHOT.jar                      | transition                                   | transition.mixins.json, transition.refmap.mixins.json
EuphoriaPatcher-1.6.5-r5.5.1-forge.jar                                             | euphoria_patcher                             | 
exlinecopperequipment-forge-1.20.1-v2.0.8.jar                                      | exlinecopperequipment                        | 
Explorify v1.6.2 f10-48.jar                                                        | explorify                                    | 
explosiveenhancement-1.1.0-1.20.1-client-and-server.jar                            | explosiveenhancement                         | explosiveenhancement.mixins.json
extra_compat-1.5.25.jar                                                            | extra_compat                                 | 
ExtraSoundsNext-forge-1.20.1-1.4.jar                                               | extrasounds                                  | extrasounds-forge.mixins.json, extrasounds.mixins.json
fallingleaves-1.20.1-2.1.2.jar                                                     | fallingleaves                                | fallingleaves.mixins.json
fancymenu_forge_3.4.6_MC_1.20.1.jar                                                | fancymenu                                    | fancymenu.mixins.json, fancymenu.forge.mixins.json
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar            |                                              | 
    /META-INF/jarjar/japng-0.5.3.jar                                               |                                              | 
FarmersDelight-1.20.1-1.2.8.jar                                                    | farmersdelight                               | farmersdelight.mixins.json
farsight-1.20.1-3.7.jar                                                            | farsight_view                                | farsight.mixins.json
    /META-INF/jarjar/jctools-core-4.0.5.jar                                        |                                              | 
fast-ip-ping-v1.0.7-mc1.20.4-forge.jar                                             | fastipping                                   | fastipping.mixins.json
fastasyncworldsave-1.20.1-2.4.jar                                                  | fastasyncworldsave                           | fastasyncworldsave.mixins.json
FastFurnace-1.20.1-8.0.2.jar                                                       | fastfurnace                                  | fastfurnace.mixins.json
FastItemFrames-v20.1.3-1.20.1-Forge.jar                                            | fastitemframes                               | fastitemframes.forge.mixins.json, fastitemframes.common.mixins.json
FastLeafDecay-32.jar                                                               | fastleafdecay                                | 
fastpaintings-1.20-1.2.7.jar                                                       | fastpaintings                                | fastpaintings-forge.mixins.json, fastpaintings.mixins.json
FastSuite-1.20.1-5.1.0.jar                                                         | fastsuite                                    | fastsuite.mixins.json
FastWorkbench-1.20.1-8.0.4.jar                                                     | fastbench                                    | fastbench.mixins.json
Female-Gender-Mod-forge-1.20.1-3.1.jar                                             | wildfire_gender                              | 
ferritecore-6.0.1-forge.jar                                                        | ferritecore                                  | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
feur_extension_fossil-1.20.1-forge.jar                                             | feur_extension_fossil (MCreator mod)         | 
Files JS-1.20.1-1.3.jar                                                            | filesjs                                      | mixins.filesjs.json
firstperson-forge-2.5.0-mc1.20.1.jar                                               | firstperson                                  | firstperson.refmap.mixins.json, firstperson.mixins.json
